,0,1,2,3,4,5,6,7,8,9
740,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
741,Fargo (1996),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Air Force One (1997),Liar Liar (1997),Jerry Maguire (1996),"Rock, The (1996)",Star Trek: First Contact (1996)
742,Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Titanic (1997),Independence Day (ID4) (1996),"Fugitive, The (1993)"
743,Star Wars (1977),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996)
744,Fargo (1996),Return of the Jedi (1983),Contact (1997),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997)
745,Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)","Princess Bride, The (1987)"
746,Fargo (1996),Contact (1997),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Jerry Maguire (1996)
747,Air Force One (1997),Liar Liar (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),Willy Wonka and the Chocolate Factory (1971),Amadeus (1984),Mission: Impossible (1996),Blade Runner (1982),Men in Black (1997),Sense and Sensibility (1995)
748,Fargo (1996),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Scream (1996),Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996),"Rock, The (1996)","Full Monty, The (1997)",L.A. Confidential (1997)
749,"English Patient, The (1996)",Scream (1996),Twelve Monkeys (1995),Titanic (1997),Schindler's List (1993),"Full Monty, The (1997)",L.A. Confidential (1997),"Usual Suspects, The (1995)",Leaving Las Vegas (1995),Apollo 13 (1995)
750,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
751,Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Liar Liar (1997),Star Trek: First Contact (1996),Schindler's List (1993),"Shawshank Redemption, The (1994)",Forrest Gump (1994),Braveheart (1995)
752,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
753,Fargo (1996),Contact (1997),"Godfather, The (1972)",Toy Story (1995),Scream (1996),Pulp Fiction (1994),Twelve Monkeys (1995),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)"
754,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997)
755,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
756,Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997)
757,"Godfather, The (1972)","English Patient, The (1996)",Air Force One (1997),Liar Liar (1997),Jerry Maguire (1996),Schindler's List (1993),"Full Monty, The (1997)",L.A. Confidential (1997),"Usual Suspects, The (1995)",Dead Man Walking (1995)
758,Toy Story (1995),Schindler's List (1993),Braveheart (1995),Dead Man Walking (1995),E.T. the Extra-Terrestrial (1982),Blade Runner (1982),One Flew Over the Cuckoo's Nest (1975),Mr. Holland's Opus (1995),Sense and Sensibility (1995),"Wizard of Oz, The (1939)"
759,Fargo (1996),Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),"Fugitive, The (1993)"
760,Fargo (1996),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Pulp Fiction (1994),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996)
761,Fargo (1996),Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Titanic (1997),Independence Day (ID4) (1996),"Fugitive, The (1993)"
762,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994)
763,Return of the Jedi (1983),Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),"Rock, The (1996)",Back to the Future (1985)
764,Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Titanic (1997),"Fugitive, The (1993)",Back to the Future (1985),Indiana Jones and the Last Crusade (1989)
765,Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
766,Fargo (1996),Contact (1997),"English Patient, The (1996)",Toy Story (1995),Scream (1996),Pulp Fiction (1994),Air Force One (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996)
767,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997)
768,Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),"Fugitive, The (1993)"
769,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997)
770,Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Fugitive, The (1993)"
771,Fargo (1996),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Twelve Monkeys (1995),Independence Day (ID4) (1996),"Rock, The (1996)",Back to the Future (1985)
772,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
773,Air Force One (1997),Liar Liar (1997),Titanic (1997),Jerry Maguire (1996),"Rock, The (1996)","Fugitive, The (1993)","Princess Bride, The (1987)",Star Trek: First Contact (1996),Forrest Gump (1994),"Full Monty, The (1997)"
774,"English Patient, The (1996)",Toy Story (1995),Scream (1996),Titanic (1997),Jerry Maguire (1996),"Princess Bride, The (1987)","Full Monty, The (1997)",L.A. Confidential (1997),Willy Wonka and the Chocolate Factory (1971),Dead Man Walking (1995)
775,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
776,Fargo (1996),Contact (1997),"English Patient, The (1996)",Toy Story (1995),Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997)
777,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997)
778,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)"
779,Fargo (1996),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Titanic (1997),Jerry Maguire (1996)
780,Fargo (1996),Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)",Toy Story (1995),Scream (1996),Pulp Fiction (1994),Twelve Monkeys (1995),Independence Day (ID4) (1996),Jerry Maguire (1996)
781,Toy Story (1995),"Silence of the Lambs, The (1991)",Air Force One (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)","Fugitive, The (1993)","Princess Bride, The (1987)"
782,Fargo (1996),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)"
783,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
784,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
785,Fargo (1996),Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Air Force One (1997),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997)
786,Contact (1997),Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Titanic (1997),"Fugitive, The (1993)",Monty Python and the Holy Grail (1974),"Shawshank Redemption, The (1994)","Full Monty, The (1997)"
787,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
788,Star Wars (1977),Return of the Jedi (1983),"Godfather, The (1972)",Scream (1996),Titanic (1997),"Princess Bride, The (1987)",Indiana Jones and the Last Crusade (1989),Monty Python and the Holy Grail (1974),"Full Monty, The (1997)",Amadeus (1984)
789,Contact (1997),Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996)
790,"Godfather, The (1972)","English Patient, The (1996)",Air Force One (1997),Titanic (1997),Back to the Future (1985),Schindler's List (1993),"Shawshank Redemption, The (1994)",L.A. Confidential (1997),"Terminator, The (1984)","Usual Suspects, The (1995)"
791,Fargo (1996),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997)
792,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997)
793,Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Titanic (1997),"Fugitive, The (1993)","Princess Bride, The (1987)"
794,Contact (1997),Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997)
795,Contact (1997),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Titanic (1997),Jerry Maguire (1996)
796,Scream (1996),Twelve Monkeys (1995),L.A. Confidential (1997),Leaving Las Vegas (1995),2001: A Space Odyssey (1968),"Birdcage, The (1996)",Trainspotting (1996),Chasing Amy (1997),Four Weddings and a Funeral (1994),Seven (Se7en) (1995)
797,Fargo (1996),Contact (1997),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997)
798,Fargo (1996),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Jerry Maguire (1996)
799,Fargo (1996),Return of the Jedi (1983),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995)
800,Fargo (1996),Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997)
801,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994)
802,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Empire Strikes Back, The (1980)",Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996)
803,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994)
804,Contact (1997),"English Patient, The (1996)",Air Force One (1997),Titanic (1997),"Rock, The (1996)","Full Monty, The (1997)",L.A. Confidential (1997),"Usual Suspects, The (1995)",Dead Man Walking (1995),Mr. Holland's Opus (1995)
805,"English Patient, The (1996)",Air Force One (1997),Titanic (1997),Jerry Maguire (1996),Schindler's List (1993),"Shawshank Redemption, The (1994)",Forrest Gump (1994),L.A. Confidential (1997),Men in Black (1997),Mr. Holland's Opus (1995)
806,Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),"Princess Bride, The (1987)","Shawshank Redemption, The (1994)",Forrest Gump (1994),"Full Monty, The (1997)",Braveheart (1995),Willy Wonka and the Chocolate Factory (1971)
807,Fargo (1996),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Liar Liar (1997),Twelve Monkeys (1995),Jerry Maguire (1996),"Shawshank Redemption, The (1994)","Full Monty, The (1997)"
808,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
809,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
810,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
811,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
812,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
813,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996)
814,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997)
815,Fargo (1996),"English Patient, The (1996)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Jerry Maguire (1996),"Shawshank Redemption, The (1994)","Full Monty, The (1997)",L.A. Confidential (1997)
816,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
817,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Titanic (1997)
818,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997)
819,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
820,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
821,Star Wars (1977),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),"Princess Bride, The (1987)"
822,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994)
823,Contact (1997),Scream (1996),Air Force One (1997),Titanic (1997),Independence Day (ID4) (1996),"Rock, The (1996)","Full Monty, The (1997)",L.A. Confidential (1997),Dead Man Walking (1995),Mission: Impossible (1996)
824,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997)
825,Toy Story (1995),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Titanic (1997),"Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985),Schindler's List (1993),Indiana Jones and the Last Crusade (1989)
826,Fargo (1996),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Air Force One (1997),Twelve Monkeys (1995),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)","Princess Bride, The (1987)",Back to the Future (1985)
827,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
828,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997)
829,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
830,Contact (1997),"English Patient, The (1996)",Air Force One (1997),Twelve Monkeys (1995),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)",Schindler's List (1993),Monty Python and the Holy Grail (1974),"Shawshank Redemption, The (1994)"
831,"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)","Empire Strikes Back, The (1980)",Independence Day (ID4) (1996),"Fugitive, The (1993)",Star Trek: First Contact (1996),Schindler's List (1993),Monty Python and the Holy Grail (1974),Forrest Gump (1994)
832,Fargo (1996),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Independence Day (ID4) (1996)
833,Contact (1997),"English Patient, The (1996)",Toy Story (1995),Air Force One (1997),Liar Liar (1997),Titanic (1997),Jerry Maguire (1996),"Rock, The (1996)","Princess Bride, The (1987)",Star Trek: First Contact (1996)
834,Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Independence Day (ID4) (1996),"Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985),Star Trek: First Contact (1996)
835,Fargo (1996),Return of the Jedi (1983),Contact (1997),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Independence Day (ID4) (1996),"Rock, The (1996)","Fugitive, The (1993)"
836,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995)
837,Star Wars (1977),Fargo (1996),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
838,"Silence of the Lambs, The (1991)",Scream (1996),Liar Liar (1997),Jerry Maguire (1996),"Rock, The (1996)","Fugitive, The (1993)","Shawshank Redemption, The (1994)","Full Monty, The (1997)",Willy Wonka and the Chocolate Factory (1971),"Terminator, The (1984)"
839,Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),"Fugitive, The (1993)","Princess Bride, The (1987)"
840,Contact (1997),"English Patient, The (1996)",Toy Story (1995),Scream (1996),Liar Liar (1997),Titanic (1997),Jerry Maguire (1996),Star Trek: First Contact (1996),Schindler's List (1993),"Full Monty, The (1997)"
841,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997)
842,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997)
843,Fargo (1996),"English Patient, The (1996)",Liar Liar (1997),Titanic (1997),Jerry Maguire (1996),"Rock, The (1996)",Schindler's List (1993),"Shawshank Redemption, The (1994)","Full Monty, The (1997)",L.A. Confidential (1997)
844,"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Titanic (1997),Jerry Maguire (1996),"Fugitive, The (1993)",Back to the Future (1985),"Shawshank Redemption, The (1994)"
845,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994)
846,Fargo (1996),"English Patient, The (1996)",Toy Story (1995),Air Force One (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)",Star Trek: First Contact (1996)
847,Fargo (1996),"Godfather, The (1972)","English Patient, The (1996)",Air Force One (1997),Liar Liar (1997),Titanic (1997),Jerry Maguire (1996),Schindler's List (1993),"Shawshank Redemption, The (1994)",Forrest Gump (1994)
848,Fargo (1996),Contact (1997),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Twelve Monkeys (1995),Titanic (1997)
849,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997)
850,Fargo (1996),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Scream (1996),Twelve Monkeys (1995),Titanic (1997),Jerry Maguire (1996),"Rock, The (1996)"
851,Fargo (1996),Return of the Jedi (1983),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Jerry Maguire (1996),"Rock, The (1996)"
852,Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997)
853,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
854,Return of the Jedi (1983),Air Force One (1997),"Empire Strikes Back, The (1980)",Titanic (1997),Back to the Future (1985),Indiana Jones and the Last Crusade (1989),Alien (1979),Leaving Las Vegas (1995),Apollo 13 (1995),Jaws (1975)
855,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996)
856,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
